Species,HAGRID,Lifespan
Kogia breviceps,2763,17
Carollia perspicillata,2783,17
Callosciurus erythraeus,3552,17
Mazama americana,2479,17.1
Galago senegalensis,3215,17.1
Chinchilla lanigera,3295,17.2
Litocranius walleri,2410,17.3
Madoqua kirkii,2412,17.3
Nucifraga columbiana,1506,17.4
Tetracerus quadricornis,2449,17.4
Heteropneustes fossilis,800,17.5
Pyrrhula pyrrhula,1604,17.5
Tachybaptus ruficollis,1946,17.5
Cephalophus dorsalis,2379,17.5
Capreolus capreolus,2469,17.5
Naemorhedus goral,2415,17.6
Rupicapra rupicapra,2443,17.6
Callithrix geoffroyi,3097,17.6
Martes americana,2633,17.8
Petaurus breviceps,2986,17.8
Lissemys punctata,4215,17.8
Garrulus glandarius,1503,17.9
Cephalophus nigrifrons,2383,17.9
Gazella cuvieri,2395,17.9
Lutjanus argentimaculatus,452,18
Sander canadensis,546,18
Scomber japonicus,587,18
Thymallus arcticus,713,18
Lepisosteus oculatus,794,18
Lepus timidus,3031,18
Protopterus annectens,4221,18
Lutra lutra,2631,18.2
Martes foina,2635,18.2
Martes martes,2636,18.2
Gazella gazella,2397,18.3
Philantomba maxwellii,2433,18.3
Pudu puda,2489,18.3
Martes zibellina,2639,18.4
Gyrinophilus porphyriticus,969,18.5
Capricornis sumatraensis,2378,18.5
Tragelaphus angasii,2450,18.5
Rusa alfredi,2493,18.5
Gallinula chloropus,1437,18.6
Meles meles,2640,18.6
Callithrix pygmaea,3102,18.6
Muntiacus muntjak,2483,18.8
Notochelys platynota,4118,18.8
Clupea pallasii,71,19
Carcharhinus acronotus,2223,19
Carcharhinus brevipinna,2226,19
Echinops telfairi,2340,19
Naemorhedus baileyi,2413,19
Ailurus fulgens,2520,19
Ailurus fulgens,2520,19
Melogale moschata,2642,19
Tamandua tetradactyla,3093,19
Ratufa bicolor,3590,19
Micrurus fulvius,3869,19
Ovophis okinavensis,4074,19
Capra falconeri,2371,19.1
Cuora flavomarginata,4102,19.1
Podiceps cristatus,1942,19.2
Artibeus jamaicensis,2781,19.2
Kinosternon leucostomum,4174,19.2
Capra caucasica,2369,19.3
Nanger dama,2416,19.3
Loris tardigradus,3250,19.3
Gulo gulo,2625,19.5
Chrysolophus amherstiae,1395,19.6
Phaeognathus hubrichti,971,19.7
Nanger granti,2417,19.7
Pteropus alecto,2802,19.7
Neoceratodus forsteri,4218,19.7
Antidorcas marsupialis,2353,19.8
Tragelaphus imberbis,2452,19.8
Neofelis nebulosa,2577,19.8
Iguana iguana,3936,19.8
Andrias davidianus,944,19.9
Manouria emys,4207,19.9
Anguilla bicolor,28,20
Anguilla bicolor,28,20
Anguilla mossambica,31,20
Ictiobus cyprinellus,114,20
Lota lota,258,20
Melanogrammus aeglefinus,259,20
Merlangius merlangus,260,20
Micromesistius poutassou,261,20
Merluccius merluccius,280,20
Macquaria ambigua,492,20
Scarus rubroviolaceus,568,20
Thunnus maccoyii,594,20
Ophiodon elongatus,729,20
Corvus brachyrhynchos,1489,20
Agelaius phoeniceus,1621,20
Prionace glauca,2242,20
Lamna ditropis,2275,20
Bos taurus,2362,20
Presbytis melalophos,3189,20
Eulemur rubriventer,3242,20
Chiropotes albinasus,3261,20
Platemys platycephala,4136,20
Pseudotriton ruber,980,20.1
Pelomedusa subrufa,4183,20.1
Accipiter nisus,1015,20.2
Nannospalax ehrenbergi,3458,20.2
Pyrrhocorax pyrrhocorax,1513,20.3
Naemorhedus caudatus,2414,20.3
Taurotragus derbianus,2447,20.3
Phocoena phocoena,2767,20.4
Rucervus eldi / Rucervus eldii,2492,20.5
Acinonyx jubatus,2557,20.5
Fulica atra,1436,20.6
Ovis canadensis,2430,20.6
Canis lupus,2526,20.6
Canis lupus,2526,20.6
Canis lupus,2526,20.6
Canis lupus,2526,20.6
Canis lupus,2526,20.6
Cathartes aura,1067,20.8
Capra hircus,2372,20.8
Oreamnos americanus,2421,20.8
Oryx leucoryx,2425,20.8
Axis axis,2464,20.8
Capra ibex,2373,20.9
Pseudois nayaur,2436,20.9
Phacochoerus africanus,2506,20.9
Pteropus vampyrus,2815,20.9
Ctenopharyngodon idella,141,21
Ctenopharyngodon idella,141,21
Ctenopharyngodon idella,141,21
Melopsittacus undulatus,2084,21
Alopias superciliosus,2271,21
Cephalophus jentinki,2380,21
Nandinia binotata,2657,21
Procyon lotor,2697,21
Eptesicus serotinus,2829,21
Propithecus diadema,3235,21
Testudo kleinmanni,4210,21
Apus apus,1141,21.1
Nycticorax nycticorax,1877,21.1
Dama dama,2473,21.1
Rusa timorensis,2495,21.1
Uncia uncia,2590,21.2
Testudo marginata,4211,21.2
Vulpes vulpes,2551,21.3
Petaurista alborufus,3581,21.4
Pica pica,1511,21.7
Ammotragus lervia,2352,21.7
Boselaphus tragocamelus,2363,21.7
Connochaetes gnou,2388,21.8
Hemitragus jemlahicus,2403,21.8
Rangifer tarandus,2490,21.8
Canis latrans,2525,21.8
Crocodylus intermedius,3681,21.8
Budorcas taxicolor,2368,21.9
Tragelaphus eurycerus,2451,21.9
Ozotoceros bezoarticus,2487,21.9
Crocodylus siamensis,3689,21.9
Clupea harengus,70,22
Perca fluviatilis,531,22
Epinephelus coioides,601,22
Epinephelus coioides,601,22
Stenodus leucichthys,712,22
Accipiter gentilis,1014,22
Ara glaucogularis,2014,22
Odocoileus hemionus,2485,22
Potamochoerus porcus,2508,22
Macropus robustus,2966,22
Phascolarctos cinereus,2996,22.1
Mauremys mutica,4116,22.1
Hippotragus niger,2405,22.2
Callimico goeldii,3095,22.2
Arenaria interpres,1262,22.3
Egretta garzetta,1872,22.3
Capra sibirica,2376,22.3
Dasypus novemcinctus,2873,22.3
Capra nubiana,2374,22.4
Alcelaphus buselaphus,2350,22.5
Cephalophus silvicultor,2385,22.5
Ophiophagus hannah,3882,22.5
Aythya americana,1095,22.6
Tragelaphus spekii,2454,22.6
Ornithorhynchus anatinus,3054,22.6
Elaphodus cephalophus,2474,22.7
Otolemur crassicaudatus,3218,22.7
Ovis aries,2429,22.8
Callithrix jacchus,3099,22.8
Axis porcinus,2467,22.9
Beryx splendens,47,23
Abramis brama,127,23
Micropterus salmoides,362,23
Micropterus salmoides,362,23
Passer domesticus,1756,23
Bubulcus ibis,1869,23
Damaliscus pygargus,2391,23
Odocoileus virginianus,2486,23
Catopuma temminckii,2559,23
Quiscalus quiscula,1638,23.1
Aythya ferina,1097,23.2
Pavo cristatus,1410,23.2
Muntiacus reevesi,2484,23.2
Muntiacus reevesi,2484,23.2
Cheirogaleus medius,3206,23.2
Daubentonia madagascariensis,3211,23.3
Hapalemur griseus,3244,23.3
Castor canadensis,3285,23.4
Stercorarius maccormicki,1306,23.5
Tragelaphus strepsiceros,2455,23.5
Gekko gecko,3893,23.5
Damaliscus lunatus,2390,23.6
Gazella dorcas,2396,23.7
Lynx lynx,2574,23.7
Nasua nasua,2694,23.7
Falco tinnunculus,1380,23.8
Oryx gazella,2424,23.8
Puma concolor,2588,23.8
Antilope cervicapra,2354,23.9
Platichthys stellatus,665,24
Salvelinus fontinalis,710,24
Crax rubra,1383,24
Gavia stellata,1423,24
Grus monacha,1432,24
Pteroplatytrygon violacea,2282,24
Capricornis crispus,2377,24
Lipotes vexillifer,2761,24
Pteropus dasymallus,2804,24
Cygnus columbianus,1117,24.1
Cygnus columbianus,1117,24.1
Neophoca cinerea,2667,24.1
Cercopithecus lhoesti,3152,24.1
Caiman crocodilus,3675,24.1
Paleosuchus palpebrosus,3678,24.1
Connochaetes taurinus,2389,24.3
Pyrrhocorax graculus,1512,24.4
Hydrosaurus amboinensis,3702,24.4
Vanellus vanellus,1206,24.5
Rucervus duvaucelii,2491,24.5
Agkistrodon piscivorus,4026,24.5
Crocodylus novaeguineae,3685,24.6
Tomistoma schlegelii,3693,24.7
Tadorna tadorna,1139,24.8
Gadus morhua,256,25
Pollachius virens,266,25
Chelon labrosus,300,25
Ambystoma tigrinum,940,25
Plethodon cinereus,972,25
Triturus marmoratus,1004,25
Falco peregrinus,1374,25
Corvus hawaiiensis,1497,25
Triaenodon obesus,2247,25
Chiloscyllium plagiosum,2292,25
Hyaena hyaena,2611,25
Taxidea taxus,2655,25
Callicebus donacophilus,3259,25
Nasalis larvatus,3186,25.1
Grus japonensis,1430,25.2
Trachypithecus pileatus,3203,25.2
Apalone spinifera,4214,25.2
Ardea purpurea,1866,25.4
Kobus leche,2408,25.4
Crocodylus moreletii,3683,25.4
Anser fabalis,1093,25.6
Aepyceros melampus,2349,25.6
Nipponia nippon,1890,25.8
Lama pacos,2460,25.8
Nycticebus coucang,3251,25.8
Hippotragus equinus,2404,25.9
Oreotragus oreotragus,2422,25.9
Malacochersus tornieri,4206,25.9
Arripis trutta,334,26
Micropterus dolomieu,360,26
Plectropomus leopardus,611,26
Psetta maxima,671,26
Raja rhina,2316,26
Pygathrix nemaeus,3192,26
Trachypithecus vetulus,3204,26.1
Saguinus oedipus,3115,26.2
Apalone ferox,4212,26.2
Bos grunniens,2359,26.3
Cervus nippon,2472,26.3
Cervus nippon,2472,26.3
Cervus nippon,2472,26.3
Cervus nippon,2472,26.3
Cervus nippon,2472,26.3
Cervus nippon,2472,26.3
Cervus nippon,2472,26.3
Panthera tigris,2581,26.3
Panthera tigris,2581,26.3
Trachypithecus francoisi,3198,26.3
Bison bonasus,2357,26.4
Rusa unicolor,2496,26.4
Callicebus cupreus,3258,26.4
Cygnus cygnus,1118,26.5
Perodicticus potto,3253,26.8
Acipenser stellatus,18,27
Anthropoides virgo,1424,27
Sus scrofa,2511,27
Sus scrofa,2511,27
Sus scrofa,2511,27
Panthera leo,2578,27
Enhydra lutris,2622,27
Allenopithecus nigroviridis,3142,27
Macaca thibetana,3181,27
Platysternon megacephalum,4189,27
Anas crecca,1080,27.1
Bos javanicus,2360,27.1
Balearica regulorum,1425,27.2
Spheniscus demersus,2158,27.3
Panthera pardus,2580,27.3
Sacalia bealei,4123,27.3
Anas acuta,1076,27.4
Ovibos moschatus,2427,27.4
Oryx dammah,2423,27.5
Elaphurus davidianus,2475,27.5
Piaractus brachypomus,55,28
Triturus cristatus,1003,28
Addax nasomaculatus,2348,28
Panthera onca,2579,28
Otis tarda,1443,28.3
Erythrocebus patas,3166,28.3
Trachypithecus cristatus,3197,28.3
Camelus dromedarius,2457,28.4
Macaca tonkeana,3182,28.4
Cardinalis cardinalis,1465,28.5
Buteo buteo,1027,28.8
Gavialis gangeticus,3692,28.8
Lama glama,2458,28.9
Heloderma suspectum,3921,28.9
Bombina variegata,840,29
Fringilla coelebs,1586,29
Alopias pelagicus,2270,29
Semnopithecus entellus,3194,29
Anas platyrhynchos,1086,29.1
Macaca sylvanus,3180,29.1
Desmodus rotundus,2784,29.2
Macaca arctoides,3168,29.2
Sternotherus carinatus,4180,29.3
Chimaera monstrosa,2266,29.4
Syncerus caffer,2446,29.8
Orycteropus afer,3671,29.8
Amia calva,25,30
Esox lucius,244,30
Lophius americanus,295,30
Pristipomoides multidens,470,30
Morone saxatilis,481,30
Argyrosomus japonicus,570,30
Reinhardtius hippoglossoides,668,30
Casuarius casuarius,1174,30
Gallus gallus,1404,30
Gallus gallus,1404,30
Gallus gallus,1404,30
Gallus gallus,1404,30
Kobus ellipsiprymnus,2406,30
Felis catus,2560,30
Orcaella brevirostris,2744,30
Plecotus auritus,2862,30
Vombatus ursinus,3010,30
Aotus azarai,3122,30
Aotus azarai,3122,30
Platalea leucorodia,1895,30.1
Equus kiang,3072,30.1
Saimiri sciureus,3141,30.2
Crotalus horridus,4053,30.2
Xenopus laevis,908,30.3
Saimiri boliviensis,3139,30.3
Saimiri boliviensis,3139,30.3
Rhinolophus ferrumequinum,2822,30.5
Rhinolophus ferrumequinum,2822,30.5
Chlorocebus aethiops,3162,30.8
Paleosuchus trigonatus,3679,30.9
Lutjanus malabaricus,460,31
Anser anser,1091,31
Aratinga acuticaudata,2019,31
Equus grevyi,3070,31
Heterocephalus glaber,3280,31
Ciconia nigra,1316,31.3
Inia geoffrensis,2760,31.3
Macaca assamensis,3169,31.4
Cervus elaphus,2471,31.5
Cervus elaphus,2471,31.5
Cervus elaphus,2471,31.5
Cervus elaphus,2471,31.5
Pecari tajacu,2514,31.5
Crocodylus palustris,3686,31.5
Vicugna vicugna,2461,31.6
Equus hemionus,3071,31.6
Equus hemionus,3071,31.6
Leontopithecus rosalia,3105,31.6
Cuora trifasciata,4103,31.8
Anguilla australis,27,32
Anguilla australis,27,32
Pandion haliaetus,1072,32
Carcharhinus leucas,2231,32
Carcharhinus plumbeus,2235,32
Cetorhinus maximus,2272,32
Lagothrix lagotricha,3138,32
Arctocephalus pusillus,2663,32.1
Lynx rufus,2576,32.3
Naja naja,3875,32.3
Alouatta caraya,3116,32.4
Phaethon rubricauda,1909,32.7
Eumetopias jubatus,2666,32.8
Dicerorhinus sumatrensis,3076,32.8
Chroicocephalus ridibundus,1214,32.9
Crocodylus acutus,3680,32.9
Indotestudo forstenii,4203,32.9
Grus rubicunda,1433,33
Neophocaena phocaenoides,2766,33
Equus zebra,3074,33.2
Equus zebra,3074,33.2
Melursus ursinus,2700,33.3
Bison bison,2356,33.5
Okapia johnstoni,2498,33.5
Lama guanicoe,2459,33.7
Aotus lemurinus,3123,33.8
Trachypithecus obscurus,3201,33.9
Polypterus senegalus,679,34
Ursus americanus,2702,34
Macaca nigra,3175,34
Trachypithecus johnii,3200,34
Python molurus,3973,34.2
Bubalus bubalis,2364,34.9
Lutjanus sebae,465,35
Columba livia,1329,35
Nymphicus hollandicus,2094,35
Carcharhinus obscurus,2234,35
Sphyrna lewini,2250,35
Colobus guereza,3164,35
Cercopithecus diana,3149,35.1
Camelus bactrianus,2456,35.4
Eulemur fulvus,3239,35.5
Eulemur fulvus,3239,35.5
Zalophus californianus,2670,35.7
Cacajao calvus,3256,35.8
Chelus fimbriata,4128,35.8
Helarctos malayanus,2699,35.9
Lepisosteus osseus,795,36
Theropithecus gelada,3195,36
Bubalus depressicornis,2365,36.1
Grus leucogeranus,1431,36.2
Eulemur macaco,3240,36.2
Eulemur mongoz,3241,36.2
Grus canadensis,1428,36.6
Ailuropoda melanoleuca,2698,36.8
Choloepus didactylus,3089,36.8
Threskiornis aethiopicus,1904,37
Hyperoodon ampullatus,2756,37
Ateles belzebuth,3126,37
Varecia variegata,3248,37
Varecia variegata,3248,37
Chelodina longicollis,4126,37
Caretta caretta,4137,37
Lemur catta,3246,37.3
Ardea cinerea,1862,37.5
Papio hamadryas,3187,37.5
Macaca nemestrina,3174,37.6
Cercopithecus mitis,3153,37.8
Alepocephalus bairdii,308,38
Salmo trutta,708,38
Salmo trutta,708,38
Hylobates pileatus,3233,38
Crocodylus rhombifer,3688,38.2
Cuora amboinensis,4101,38.2
Macaca fuscata,3171,38.5
Aegypius monachus,1017,39
Ciconia ciconia,1313,39
Tremarctos ornatus,2701,39
Macaca fascicularis,3170,39
Ursus thibetanus,2705,39.2
Ursus thibetanus,2705,39.2
Ursus thibetanus,2705,39.2
Ursus thibetanus,2705,39.2
Ursus thibetanus,2705,39.2
Giraffa camelopardalis,2497,39.5
Giraffa camelopardalis,2497,39.5
Anguilla marmorata,30,40
Oreoleuciscus potanini,199,40
Salvelinus alpinus,709,40
Grus americana,1426,40
Ursus arctos,2703,40
Macaca mulatta,3173,40
Macaca silenus,3178,40
Mandrillus sphinx,3184,40
Cebus albifrons,3134,40.4
Boa constrictor,3723,40.4
Anguilla reinhardtii,33,41
Carassius auratus,133,41
Carassius auratus,133,41
Carassius auratus,133,41
Carassius auratus,133,41
Carassius auratus,133,41
Carassius auratus,133,41
Carassius auratus,133,41
Carassius auratus,133,41
Pelusios castaneus,4184,41
Palea steindachneri,4216,41
Crocuta crocuta,2609,41.1
Zaglossus bruijni,3056,41.2
Trachemys scripta,4169,41.3
Crocodylus porosus,3687,41.7
Grus antigone,1427,41.8
Hippoglossus stenolepis,656,42
Branta canadensis,1102,42
Phoebastria nigripes,1952,42.1
Hexaprotodon liberiensis,2499,42.3
Grampus griseus,2740,42.5
Halichoerus grypus,2673,42.9
Grus grus,1429,43
Rhinoceros unicornis,3079,43.5
Ursus maritimus,2704,43.8
Crocodylus niloticus,3684,43.8
Megalops cyprinoides,243,44
Phoenicopterus roseus,1912,44
Grus vipio,1434,45
Ceratotherium simum,3075,45
Aythya fuligula,1098,45.2
Acipenser gueldenstaedtii,14,46
Pusa hispida,2687,46
Stenella attenuata,2750,46
Cebus apella,3135,46
Cercocebus torquatus,3145,46
Acipenser ruthenus,16,46.1
Cyprinus carpio,147,47
Cyprinus carpio,147,47
